datetime,action,price,position,exit_datetime,exit_price,pnl_points,gross_pnl_inr,transaction_cost_inr,net_pnl_inr
2025-04-29 09:15:00+05:30,Buy,24370.7,Long,2025-04-29 09:30:00+05:30,24440.2,69.5,1737.5,244.0545,1493.4455
2025-04-29 09:35:00+05:30,Sell,24440.85,Short,2025-04-29 09:50:00+05:30,24329.1,111.75,2793.75,243.69925,2550.05075
2025-04-29 09:50:00+05:30,Buy,24316.75,Long,2025-04-29 10:00:00+05:30,24378.3,61.55,1538.75,243.47625,1295.27375
2025-04-29 10:00:00+05:30,Sell,24390.0,Short,2025-04-29 10:45:00+05:30,24350.7,39.3,982.5,243.7025,738.7975
2025-04-29 10:45:00+05:30,Buy,24321.85,Long,2025-04-29 11:45:00+05:30,24340.15,18.3,457.5,243.31,214.19
2025-04-29 11:45:00+05:30,Sell,24354.65,Short,2025-04-29 12:30:00+05:30,24329.95,24.7,617.5,243.423,374.077
2025-04-29 12:30:00+05:30,Buy,24329.95,Long,2025-04-29 13:20:00+05:30,24362.9,32.95,823.75,243.46425,580.28575
2025-04-29 13:20:00+05:30,Buy,24352.2,Long,2025-04-29 14:15:00+05:30,24361.65,9.45,236.25,243.5685,-7.3185
2025-04-29 14:15:00+05:30,Sell,24366.9,Short,2025-04-29 15:20:00+05:30,24333.1,33.8,845,243.5,601.5
2025-04-29 15:20:00+05:30,Buy,24338.85,Long,2025-04-29 15:25:00+05:30,24325.45,-13.4,-335,243.3215,-578.3215
